sx,sy,ex,ey
0,0,277.21657544957,193
0,197,175.13682564503517,252
280.2189210320563,0,358.27990617670054,111
363.2838154808444,0,392.3064894448788,62
283.22126661454257,117,318.24863174354965,160
183.14308053166536,201,232.1813917122752,227
521.4073494917905,607,1280,720
947.7404222048475,552,1280,607
659.5152462861611,515,855.6684910086004,601
861.6731821735731,535,944.7380766223612,603
537.4198592650508,593,659.5152462861611,613
642.501954652072,523,656.5129007036747,598
615.480844409695,541,632.4941360437841,598
580.453479280688,571,609.4761532447225,591
719.5621579358874,465,731.5715402658326,513
694.542611415168,487,714.5582486317435,512
737.5762314308053,488,767.5996872556684,511
494.38623924941356,616,518.4050039093041,720
268.209538702111,691,494.38623924941356,720
357.27912431587174,668,489.3823299452697,687
440.3440187646599,641,492.38467552775603,663
952.7443315089913,0,1280,199
937.7326035965598,54,947.7404222048475,194
993.776387802971,204,1259.9843627834246,211
1060.8287724784989,216,1189.9296325254104,226
