sx,sy,ex,ey
0,0,278.2173573103987,720
281.21970289288504,0,303.23690383111807,720
308.24081313526193,94,401.31352619233775,720
409.31978107896794,222,501.391712275215,720
407.3182173573104,133,441.34480062548863,223
508.3971853010164,314,536.419077404222,664
304.2376856919468,32,336.26270523846756,97
340.2658326817826,56,364.2845973416732,92
448.35027365129,166,471.3682564503518,221
503.39327599687255,262,525.4104769351055,312
538.4206411258796,368,557.4354964816263,563
1011.7904612978889,0,1280,720
781.6106333072713,0,1007.7873338545738,49
886.6927286942923,58,1008.7881157154026,130
940.7349491790461,135,1011.7904612978889,200
971.759186864738,208,1009.7888975762314,266
829.6481626270523,51,883.6903831118061,78
1001.7826426896012,569,1011.7904612978889,720
960.7505863956216,675,983.7685691946833,720
981.7670054730257,629,989.773260359656,672
