sx,sy,ex,ey
81.06333072713056,20,1280,32
236.1845191555903,0,1280,94
449.3510555121188,98,1280,143
321.250977326036,100,438.3424550430023,119
592.4628616106332,151,1164.910086004691,169
112.0875684128225,40,230.17982799061767,48
160.1250977326036,57,233.18217357310397,69
33.02580140734949,0,223.17435496481625,16
0,549,1280,720
0,459,301.2353401094605,553
310.24237685691946,491,454.3549648162627,551
455.3557466770915,511,539.4214229867083,544
548.4284597341673,519,593.4636434714621,543
0,387,87.0680218921032,459
97.07584050039092,413,165.12900703674745,454
179.13995308835027,438,221.1727912431587,453
