ID,StateName,ClassName,PNGFilename,CollisionFilename
0,Splash,PNGRoom,assets/Home.png,
1,Instructions,InstructionsScreen,assets/Instructions.png,
2,Start,PNGRoom,assets/Home2.png,
3,TopLeft,PNGRoom,assets/TopLeft.png,assets/TopLeft_cl.csv
4,Uproad,PNGRoom,assets/Uproad.png,assets/Uproad_cl.csv
5,Topright,PNGRoom,assets/Topright.png,assets/TopRight_cl.csv
6,Leftroad,PNGRoom,assets/Leftroad.png,assets/LeftRoad_cl.csv
7,Rightroad,PNGRoom,assets/Rightroad.png,assets/RightRoad_cl.csv
8,BottomLeft,BottomLeftRoom,assets/BottomLeft.png,assets/BottomLeft_cl.csv
9,Downroad,DownroadRoom,assets/Downroad.png,assets/Downroad_cl.csv
10,BottomRight,PNGRoom,assets/BottomRight.png,assets/BottomRight_cl.csv
11,Finish,PNGRoom,assets/Finish.png,
