sx,sy,ex,ey
777.6075058639561,0,1280,720
0,546,780.6098514464425,720
474.3706020328381,312,784.6129788897576,554
270.2111024237686,443,485.37920250195464,549
391.30570758405,372,478.37372947615324,448
329.2572322126661,407,414.3236903831118,444
438.3424550430023,338,487.38076622361217,371
120.0938232994527,504,291.22752150117276,549
189.147771696638,477,289.2259577795152,503
54.04222048475371,527,128.10007818608287,552
644.5035183737294,168,827.6465989053949,323
533.4167318217357,262,688.5379202501954,315
593.4636434714621,215,670.5238467552775,271
703.549648162627,99,830.6489444878811,179
745.5824863174355,48,811.6340891321345,106
669.5230648944488,137,728.5691946833464,170
0,0,146.11415168100078,130
150.11727912431587,0,239.18686473807662,71
241.18842845973415,0,283.22126661454257,33
286.2236121970289,0,307.24003127443314,18
243.1899921813917,35,261.2040656763096,54
150.11727912431587,76,195.15246286161062,99
0,134,95.07427677873338,159
0,165,37.02892885066458,184
