sx,sy,ex,ey
0,0,1280,150
890.6958561376075,148,1280,720
638.4988272087568,154,888.6942924159499,383
764.5973416731821,389,886.6927286942923,512
833.6512900703674,518,888.6942924159499,612
704.5504300234558,389,762.5957779515246,451
740.5785770132916,451,764.5973416731821,478
794.6207974980454,518,831.6497263487099,552
860.6724003127443,615,888.6942924159499,652
470.36747458952306,157,637.498045347928,267
565.4417513682564,274,637.498045347928,330
517.4042220484754,272,561.4386239249413,301
607.4745895230649,333,636.4972634870993,357
239.18686473807662,154,467.3651290070367,176
391.30570758405,178,466.36434714620793,230
337.2634870992963,184,387.3025801407349,211
305.2384675527756,182,335.26192337763877,191
444.34714620797496,230,466.36434714620793,252
0,554,292.22830336200155,720
0,531,241.18842845973415,553
0,517,191.14933541829552,527
297.2322126661454,606,385.30101641907737,720
389.3041438623925,651,430.3362001563722,720
297.2322126661454,576,342.26739640344016,602
430.3362001563722,712,480.3752931978108,720
434.33932759968724,682,457.357310398749,720
