sx,sy,ex,ey
0,0,329.2572322126661,720
331.2587959343237,0,489.3823299452697,519
332.25957779515244,522,417.3260359655981,629
421.3291634089132,524,459.35887412040654,577
333.26035965598123,632,376.29397967161844,676
422.329945269742,582,443.34636434714616,603
382.29867083659104,636,398.3111806098514,657
490.3831118060985,45,509.39796716184514,476
511.39953088350273,134,535.4182955433932,406
948.7412040656762,0,1280,720
913.7138389366693,481,950.7427677873338,720
857.670054730258,591,914.714620797498,720
827.6465989053949,664,858.6708365910868,720
895.6997654417513,531,914.714620797498,591
911.7122752150117,0,949.7419859265051,62
928.7255668491008,64,949.7419859265051,106
