sx,sy,ex,ey
0,0,263.20562939796713,720
267.20875684128225,0,760.594214229867,169
266.20797498045346,176,523.4089132134479,353
526.4112587959343,174,654.5113369820172,241
526.4112587959343,248,560.4378420641126,319
564.4409695074277,256,612.4784988272087,273
662.5175918686474,181,711.5559030492572,202
761.5949960906959,0,965.7544956997654,70
763.5965598123533,74,837.6544175136826,126
839.65598123534,78,896.70054730258,99
970.7584050039093,0,1148.8975762314308,19
972.7599687255668,28,1025.8014073494917,50
267.20875684128225,361,296.2314308053166,652
302.2361219702893,367,482.3768569194683,387
304.2376856919468,398,389.3041438623925,499
308.24081313526193,511,347.271305707584,574
402.31430805316654,400,439.3432369038311,450
1245.9734167318218,354,1280,720
915.7154026583268,499,1239.9687255668491,720
788.6161063330727,617,915.7154026583268,720
870.6802189210321,530,916.7161845191556,613
749.5856137607506,660,788.6161063330727,720
821.6419077404222,573,876.6849100860046,619
1078.8428459734166,402,1240.9695074276779,501
981.7670054730257,450,1078.8428459734166,492
1034.8084440969508,419,1075.8405003909304,446
942.7365129007036,473,988.7724784988271,495
1158.9053948397184,374,1243.971853010164,401
